id	raw_text	intent_text	expected_doc_ids	expected_category	needs_clarification	notes
TC-001	규조토 욕실매트 있어요?	규조토 욕실 매트	P-102	bathroom_mat	false	tag=exact
TC-002	규조토매트 추천해줘	규조토 욕실 매트	P-102	bathroom_mat	false	tag=synonym
TC-003	흡수 잘 되는 욕실 매트	규조토 욕실 매트	P-102	bathroom_mat	false	tag=purpose
TC-004	물기 빨리 마르는 욕실매트	규조토 욕실 매트	P-102	bathroom_mat	false	tag=purpose
TC-005	욕실에서 발 닦는 규조토	규조토 욕실 매트	P-102	bathroom_mat	false	tag=keyword_mix
TC-006	샤워하고 나오면 물 흡수하는 매트	규조토 욕실 매트	P-102	bathroom_mat	false	tag=purpose
TC-007	샤워실 앞에 까는 흡수매트	규조토 욕실 매트	P-102	bathroom_mat	false	tag=purpose
TC-008	욕실 바닥 미끄럼 방지 매트 큰 거	욕실 미끄럼방지 매트 (대)	P-101	bathroom_mat	false	tag=exact
TC-009	욕실 미끄럼방지 매트 대	욕실 미끄럼방지 매트 (대)	P-101	bathroom_mat	false	tag=exact
TC-010	샤워실 바닥 안 미끄러지는 매트	욕실 미끄럼방지 매트 (대)	P-101	bathroom_mat	false	tag=purpose
TC-011	물빠짐 구멍 있는 욕실 매트	욕실 미끄럼방지 매트 (대)	P-101	bathroom_mat	false	tag=attribute
TC-012	욕실용 미끄럼 방지 바닥 매트	욕실 미끄럼방지 매트 (대)	P-101	bathroom_mat	false	tag=synonym
TC-013	샤워실 바닥에 까는 미끄럼방지	욕실 미끄럼방지 매트 (대)	P-101	bathroom_mat	false	tag=purpose
TC-014	욕실 바닥에 물빠짐 되는 매트	욕실 미끄럼방지 매트 (대)	P-101	bathroom_mat	false	tag=attribute
TC-015	욕실매트(규조토 말고) 미끄럼방지로	욕실 미끄럼방지 매트 (대)	P-101	bathroom_mat	false	tag=disambiguated
TC-016	욕실 매트 하나 골라줘	욕실 매트	P-101,P-102	bathroom_mat	true	tag=ambiguous_need_clarify
TC-017	욕실 바닥 매트 추천	욕실 매트	P-101,P-102	bathroom_mat	true	tag=ambiguous_need_clarify
TC-018	욕실에 깔 매트 어떤 거 있어?	욕실 매트	P-101,P-102	bathroom_mat	true	tag=ambiguous_need_clarify
TC-019	규조토랑 미끄럼방지 중 뭐가 좋아?	욕실 매트	P-101,P-102	bathroom_mat	true	tag=needs_choice
TC-020	요가 매트 6mm 있나요	요가 매트 6mm	P-201	yoga_mat	false	tag=exact
TC-021	6미리 요가매트	요가 매트 6mm	P-201	yoga_mat	false	tag=abbrev
TC-022	운동할 때 쓰는 6mm 매트	요가 매트 6mm	P-201	yoga_mat	false	tag=purpose
TC-023	필라테스 말고 요가매트 6mm	요가 매트 6mm	P-201	yoga_mat	false	tag=disambiguated
TC-024	미끄럼 방지 되는 요가매트 6mm	요가 매트 6mm	P-201	yoga_mat	false	tag=attribute
TC-025	얇은 요가매트 6mm짜리	요가 매트 6mm	P-201	yoga_mat	false	tag=attribute
TC-026	필라테스 매트 있나요	필라테스 매트	P-202	yoga_mat	false	tag=exact
TC-027	필라테스용 쿠션 매트	필라테스 매트	P-202	yoga_mat	false	tag=purpose
TC-028	두툼한 필라테스 매트	필라테스 매트	P-202	yoga_mat	false	tag=attribute
TC-029	요가 말고 필라테스 매트로	필라테스 매트	P-202	yoga_mat	false	tag=disambiguated
TC-030	필라테스할 때 무릎 안 아픈 매트	필라테스 매트	P-202	yoga_mat	false	tag=purpose
TC-031	운동 매트 추천해줘	운동 매트	P-201,P-202	yoga_mat	true	tag=ambiguous_need_clarify
TC-032	요가매트랑 필라테스매트 차이 뭐야?	요가/필라테스 매트	P-201,P-202	yoga_mat	true	tag=needs_choice
TC-033	요가매트 하나만 골라줘	요가 매트	P-201,P-202	yoga_mat	true	tag=ambiguous_need_clarify
TC-034	집에서 스트레칭용 매트	요가/필라테스 매트	P-201,P-202	yoga_mat	true	tag=ambiguous_need_clarify
TC-035	현관 발매트 있어요?	현관 발매트	P-301	entry_mat	false	tag=exact
TC-036	도어매트 있나요	현관 발매트	P-301	entry_mat	false	tag=synonym
TC-037	현관 입구 먼지 털이 매트	현관 발매트	P-301	entry_mat	false	tag=purpose
TC-038	집 들어올 때 발 닦는 매트	현관 발매트	P-301	entry_mat	false	tag=purpose
TC-039	현관 앞에 깔아두는 발판 매트	현관 발매트	P-301	entry_mat	false	tag=synonym
TC-040	현관 매트 추천	현관 발매트	P-301	entry_mat	false	tag=exactish
TC-041	매트 있나요?	매트	[]		true	tag=noise_need_clarify
TC-042	그 매트… 뭐더라…	매트	[]		true	tag=noise_need_clarify
TC-043	미끄럼 방지 매트	미끄럼 방지 매트	P-101,P-201	yoga_mat	true	tag=category_confusion
TC-044	욕실에서 운동할 때 쓸 매트	욕실/운동 매트	[]		true	tag=category_confusion
TC-045	요가매트 같은 건데 욕실에 깔아도 돼?	욕실/요가 매트	[]		true	tag=category_confusion
TC-046	샤워실용 매트랑 요가매트 둘 다 보여줘	욕실 매트 + 요가 매트	P-101,P-102,P-201,P-202		true	tag=multi_intent
TC-047	현관이랑 욕실 둘 다 매트 필요해	현관 매트 + 욕실 매트	P-301,P-101,P-102		true	tag=multi_intent
TC-048	규조토 말고 물빠짐 되는 욕실매트	욕실 미끄럼방지 매트 (대)	P-101	bathroom_mat	false	tag=negation
TC-049	물기 흡수는 별로고 미끄럼 방지가 중요해	욕실 미끄럼방지 매트 (대)	P-101	bathroom_mat	false	tag=preference
TC-050	물 흡수 잘 되는 욕실 발매트	규조토 욕실 매트	P-102	bathroom_mat	false	tag=keyword_mix
TC-051	욕실 바닥 구멍송송 매트	욕실 미끄럼방지 매트 (대)	P-101	bathroom_mat	false	tag=attribute
TC-052	욕실 발판 미끄럼방지	욕실 미끄럼방지 매트 (대)	P-101	bathroom_mat	false	tag=synonym
TC-053	욕실 미끄럼방지 매트 작은 건 없어?	욕실 미끄럼방지 매트 (대)	P-101	bathroom_mat	true	tag=missing_variant
TC-054	규조토 욕실매트 큰 사이즈	규조토 욕실 매트	P-102	bathroom_mat	true	tag=missing_variant
TC-055	요가매트 6mm 말고 좀 더 쿠션감 있는 거	필라테스 매트	P-202	yoga_mat	false	tag=contrast
