law,query,expected_articles,returned_article,match,snippet,f1,human_verdict,action,future_effective,new_expected
가맹사업법,영업지역 보장 동일 브랜드 출점 제한 가맹사업법,제12조의4,제14조의2,,제14조의2(가맹점사업자단체의 거래조건 변경 협의 등),0.571,X,무관,False,제12조의4 / 제12조의5 / 제7조
가맹사업법,영업지역 보장 동일 브랜드 출점 제한 가맹사업법,제12조의4,제13조,,[제13조] 그 밖에 가맹점사업자가 가맹사업을 정상적으로 유지하기 위하여 필요하다고 인정되는 것으로서 대통령령으 로 정하는 사항,0.571,X,무관,False,제12조의4 / 제12조의5 / 제7조
가맹사업법,영업지역 보장 동일 브랜드 출점 제한 가맹사업법,제12조의4,제12조의4,정답,제12조의4(부당한 영업지역 침해금지) ① 가맹본부는 가맹계약 체결 시 가맹점사업자의 영업지역을 설정하여 가맹계 약서에 이를 기재하여야 한다. ② 가맹본부가 가맹계약 갱신과정에서 상권의 급격한 변화 등 대통령령으로,0.571,O,,False,제12조의4 / 제12조의5 / 제7조
가맹사업법,영업지역 보장 동일 브랜드 출점 제한 가맹사업법,제12조의4,제7조,,[제7조] ② 가맹본부는 제1항에 따라 정보공개서를 제공할 경우에는 가맹희망자의 장래 점포 예정지에서 가장 인접한 가맹 점 10개(정보공개서 제공시점에 가맹희망자의 장래 점포 예정지가 속한 광역지방자치단체에서 영업,0.571,O,정답에 추가,False,제12조의4 / 제12조의5 / 제7조
가맹사업법,영업지역 보장 동일 브랜드 출점 제한 가맹사업법,제12조의4,,MISS,[미반환] 기대 조문: 제12조의5,0.571,,정답 유지,False,제12조의4 / 제12조의5 / 제7조
가맹사업법,정보공개서 등록 의무 가맹본부 가맹사업법,제6조의2 / 제6조의3 / 제7조,제31조,,제31조(가맹거래사의 등록취소와 자격정지),0.444,X,무관,False,제5조의2 / 제6조의2 / 제6조의3 / 제7조
가맹사업법,정보공개서 등록 의무 가맹본부 가맹사업법,제6조의2 / 제6조의3 / 제7조,제14조의3,,제14조의3(가맹점사업자단체의 등록 등),0.444,X,무관,False,제5조의2 / 제6조의2 / 제6조의3 / 제7조
가맹사업법,정보공개서 등록 의무 가맹본부 가맹사업법,제6조의2 / 제6조의3 / 제7조,제6조의3,정답,"바에 따라 임 원이 운영한 기간도 직영점 운영기간으로 본다)이 1년 미만인 경우. 다만, 가맹본부가 가맹사업의 영위를 위하여 관련 법령에 따라 허가ㆍ면허를 받아야 하는 등 직영점 운영이 불필요하다고 인정되는 사유로",0.444,O,,False,제5조의2 / 제6조의2 / 제6조의3 / 제7조
가맹사업법,정보공개서 등록 의무 가맹본부 가맹사업법,제6조의2 / 제6조의3 / 제7조,제2조,,9. “가맹계약서”라 함은 가맹사업의 구체적 내용과 조건 등에 있어 가맹본부 또는 가맹점사업자(이하 “가맹사업당사 자”라 한다)의 권리와 의무에 관한 사항(특수한 거래조건이나 유의사항이 있는 경우에는 이를 포함한다),0.444,X,무관,False,제5조의2 / 제6조의2 / 제6조의3 / 제7조
가맹사업법,정보공개서 등록 의무 가맹본부 가맹사업법,제6조의2 / 제6조의3 / 제7조,제5조의2,,[제5조의2] ④ 공정거래위원회 또는 시ㆍ도지사는 제2항에 따른 등록신청이 있으면 등록신청일부터 30일(법 제6조의4에 따라 등록이 취소된 가맹본부가 다시 등록을 신청한 경우에는 2개월) 이내에 가맹본부에 별지 제2,0.444,O,정답에 추가,False,제5조의2 / 제6조의2 / 제6조의3 / 제7조
