id	raw_text	intent_text	expected_doc_ids	expected_category	needs_clarification	notes
TC-001	차량 매트 있어요?	차량 매트	P-10049	car_mat	false	tag=exact
TC-002	청소장갑 있어요?	청소장갑	P-10086	cleaning_glove	false	tag=exact
TC-003	차량 매트 있어요?	차량 매트	P-10050	car_mat	false	tag=exact
TC-004	스낵바 있어요?	스낵바	P-10269	snack_bar	false	tag=exact
TC-005	청소장갑 있어요?	청소장갑	P-10082	cleaning_glove	false	tag=exact
TC-006	섬유유연제 있어요?	섬유유연제	P-10226	fabric_softener	false	tag=exact
TC-007	샤워커튼 있어요?	샤워커튼	P-10078	shower_curtain	false	tag=exact
TC-008	휴대폰 케이스 있어요?	휴대폰 케이스	P-10288	phone_case	false	tag=exact
TC-009	가습기 있어요?	가습기	P-10121	humidifier	false	tag=exact
TC-010	수건 있어요?	수건	P-10051	towel	false	tag=exact
TC-011	마스크 있어요?	마스크	P-10158	face_mask	false	tag=exact
TC-012	가습기 있어요?	가습기	P-10125	humidifier	false	tag=exact
TC-013	정수필터 있어요?	정수필터	P-10233	water_filter	false	tag=exact
TC-014	청소기 있어요?	청소기	P-10136	vacuum	false	tag=exact
TC-015	가습기 있어요?	가습기	P-10126	humidifier	false	tag=exact
TC-016	주방 매트 있어요?	주방 매트	P-10036	kitchen_mat	false	tag=exact
TC-017	욕실 매트 있어요?	욕실 매트	P-10006	bathroom_mat	false	tag=exact
TC-018	커피캡슐 있어요?	커피캡슐	P-10246	coffee_capsule	false	tag=exact
TC-019	스낵바 있어요?	스낵바	P-10267	snack_bar	false	tag=exact
TC-020	주방 매트 있어요?	주방 매트	P-10034	kitchen_mat	false	tag=exact
TC-021	섬유유연제 있어요?	섬유유연제	P-10221	fabric_softener	false	tag=exact
TC-022	휴대폰 케이스 있어요?	휴대폰 케이스	P-10285	phone_case	false	tag=exact
TC-023	청소장갑 있어요?	청소장갑	P-10086	cleaning_glove	false	tag=exact
TC-024	현관 매트 있어요?	현관 매트	P-10027	entry_mat	false	tag=exact
TC-025	가습기 있어요?	가습기	P-10130	humidifier	false	tag=exact
TC-026	현관 매트 있어요?	현관 매트	P-10026	entry_mat	false	tag=exact
TC-027	충전기 있어요?	충전기	P-10297	charger	false	tag=exact
TC-028	커피캡슐 있어요?	커피캡슐	P-10245	coffee_capsule	false	tag=exact
TC-029	단백질 파우더 있어요?	단백질 파우더	P-10271	protein_powder	false	tag=exact
TC-030	청소장갑 있어요?	청소장갑	P-10082	cleaning_glove	false	tag=exact
TC-031	요가 매트 있어요?	요가 매트	P-10015	yoga_mat	false	tag=exact
TC-032	칫솔 있어요?	칫솔	P-10203	toothbrush	false	tag=exact
TC-033	샤워커튼 있어요?	샤워커튼	P-10075	shower_curtain	false	tag=exact
TC-034	청소기 있어요?	청소기	P-10139	vacuum	false	tag=exact
TC-035	쓰레기봉투 있어요?	쓰레기봉투	P-10104	trash_bag	false	tag=exact
TC-036	커피캡슐 있어요?	커피캡슐	P-10246	coffee_capsule	false	tag=exact
TC-037	티백 있어요?	티백	P-10257	tea_bag	false	tag=exact
TC-038	휴대폰 케이스 있어요?	휴대폰 케이스	P-10281	phone_case	false	tag=exact
TC-039	티백 있어요?	티백	P-10257	tea_bag	false	tag=exact
TC-040	충전기 있어요?	충전기	P-10299	charger	false	tag=exact
TC-041	린스 있어요?	린스	P-10174	conditioner	false	tag=exact
TC-042	정수필터 있어요?	정수필터	P-10232	water_filter	false	tag=exact
TC-043	요가 매트 있어요?	요가 매트	P-10017	yoga_mat	false	tag=exact
TC-044	공기청정기 있어요?	공기청정기	P-10150	air_purifier	false	tag=exact
TC-045	커피캡슐 있어요?	커피캡슐	P-10243	coffee_capsule	false	tag=exact
TC-046	칫솔 있어요?	칫솔	P-10205	toothbrush	false	tag=exact
TC-047	마스크 있어요?	마스크	P-10151	face_mask	false	tag=exact
TC-048	충전기 있어요?	충전기	P-10299	charger	false	tag=exact
TC-049	차량 매트 있어요?	차량 매트	P-10043	car_mat	false	tag=exact
TC-050	마스크 있어요?	마스크	P-10157	face_mask	false	tag=exact
TC-051	쓰레기봉투 추천 추천해줘	쓰레기봉투 추천	P-10105	trash_bag	false	tag=synonym
TC-052	청소장갑 있어요? 추천해줘	청소장갑 있어요?	P-10085	cleaning_glove	false	tag=synonym
TC-053	칫솔 추천 추천해줘	칫솔 추천	P-10204	toothbrush	false	tag=synonym
TC-054	마스크 있어요? 추천해줘	마스크 있어요?	P-10159	face_mask	false	tag=synonym
TC-055	주방발매트 추천해줘	주방발매트	P-10033	kitchen_mat	false	tag=synonym
TC-056	먼지매트 추천해줘	먼지매트	P-10024	entry_mat	false	tag=synonym
TC-057	린스 있어요? 추천해줘	린스 있어요?	P-10174	conditioner	false	tag=synonym
TC-058	C타입충전기 추천해줘	C타입충전기	P-10296	charger	false	tag=synonym
TC-059	청소기 추천해줘	청소기	P-10133	vacuum	false	tag=synonym
TC-060	샤워커튼 추천해줘	샤워커튼	P-10072	shower_curtain	false	tag=synonym
TC-061	쓰레기봉투 추천해줘	쓰레기봉투	P-10109	trash_bag	false	tag=synonym
TC-062	쓰레기봉투 추천 추천해줘	쓰레기봉투 추천	P-10104	trash_bag	false	tag=synonym
TC-063	청소장갑 추천해줘	청소장갑	P-10090	cleaning_glove	false	tag=synonym
TC-064	휴대폰 케이스 있어요? 추천해줘	휴대폰 케이스 있어요?	P-10281	phone_case	false	tag=synonym
TC-065	가습기 추천해줘	가습기	P-10127	humidifier	false	tag=synonym
TC-066	가습기 추천 추천해줘	가습기 추천	P-10125	humidifier	false	tag=synonym
TC-067	커피캡슐 있어요? 추천해줘	커피캡슐 있어요?	P-10241	coffee_capsule	false	tag=synonym
TC-068	청소장갑 추천 추천해줘	청소장갑 추천	P-10090	cleaning_glove	false	tag=synonym
TC-069	차매트 추천해줘	차매트	P-10049	car_mat	false	tag=synonym
TC-070	현관매트 추천해줘	현관매트	P-10025	entry_mat	false	tag=synonym
TC-071	가습기 있어요? 추천해줘	가습기 있어요?	P-10127	humidifier	false	tag=synonym
TC-072	청소기 추천해줘	청소기	P-10135	vacuum	false	tag=synonym
TC-073	자동차매트 추천해줘	자동차매트	P-10041	car_mat	false	tag=synonym
TC-074	섬유유연제 있어요? 추천해줘	섬유유연제 있어요?	P-10228	fabric_softener	false	tag=synonym
TC-075	미끄럼방지매트 추천해줘	미끄럼방지매트	P-10002	bathroom_mat	false	tag=synonym
TC-076	C타입충전기 추천해줘	C타입충전기	P-10299	charger	false	tag=synonym
TC-077	공기청정기 추천해줘	공기청정기	P-10144	air_purifier	false	tag=synonym
TC-078	샤워커튼 추천해줘	샤워커튼	P-10073	shower_curtain	false	tag=synonym
TC-079	샴푸 있어요? 추천해줘	샴푸 있어요?	P-10162	shampoo	false	tag=synonym
TC-080	현관 매트 추천해줘	현관 매트	P-10029	entry_mat	false	tag=synonym
TC-081	욕실매트 추천해줘	욕실매트	P-10003	bathroom_mat	false	tag=synonym
TC-082	바디워시 추천 추천해줘	바디워시 추천	P-10181	body_wash	false	tag=synonym
