id	raw_text	intent_text	bm25_query_text	expected_doc_ids	expected_category	needs_clarification	notes
tc_0001	두루마리 휴지 어디 있어요?	두루마리 휴지	두루마리 휴지	tissue	욕실/청소	false	exact
tc_0002	화장지 두루마리 찾고 있어요	두루마리 휴지	두루마리 휴지 화장지 두루마리	tissue	욕실/청소	false	desc/syn
tc_0003	두루마리휴 있어요?	두루마리 휴지	두루마리휴 두루마리 휴지	tissue	욕실/청소	false	typo
tc_0004	충전 케이블 어디 있어요?	충전 케이블	충전 케이블	usb_cable	전자/디지털	false	exact
tc_0005	USB-C 라이트닝 케이블 데이터 찾고 있어요	충전 케이블	충전 케이블 USB-C 라이트닝 케이블 데이터	usb_cable	전자/디지털	false	desc/syn
tc_0006	충전케이 있어요?	충전 케이블	충전케이 충전 케이블	usb_cable	전자/디지털	false	typo
tc_0007	알카라인 건전지 AA/AAA 어디 있어요?	알카라인 건전지 AA/AAA	알카라인 건전지 AA/AAA	battery_aa,battery_aaa	전자/디지털	false	exact
tc_0008	AA AAA 알카라인 배터리 찾고 있어요	알카라인 건전지 AA/AAA	알카라인 건전지 AA/AAA AA AAA 알카라인 배터리	battery_aa,battery_aaa	전자/디지털	false	desc/syn
tc_0009	알카라인건전AA/AAA 있어요?	알카라인 건전지 AA/AAA	알카라인건전AA/AAA 알카라인 건전지 AA/AAA	battery_aa,battery_aaa	전자/디지털	false	typo
tc_0010	볼펜 어디 있어요?	볼펜	볼펜			true	exact|no_catalog
tc_0011	검정 파랑 볼펜 찾고 있어요	볼펜	볼펜 검정 파랑 볼펜			true	desc/syn|no_catalog
tc_0012	볼펜 있어요?	볼펜	볼펜 볼펜			true	typo|no_catalog
tc_0013	사무용 가위 어디 있어요?	사무용 가위	사무용 가위			true	exact|no_catalog
tc_0014	문구용 가위 스테인리스 찾고 있어요	사무용 가위	사무용 가위 문구용 가위 스테인리스			true	desc/syn|no_catalog
tc_0015	사용가위 있어요?	사무용 가위	사용가위 사무용 가위			true	typo|no_catalog
tc_0016	덤벨 어디 있어요?	덤벨	덤벨			true	exact|no_catalog
tc_0017	운동 덤벨 근력 운동 찾고 있어요	덤벨	덤벨 운동 덤벨 근력 운동			true	desc/syn|no_catalog
tc_0018	덤벨 있어요?	덤벨	덤벨 덤벨			true	typo|no_catalog
tc_0019	전원 멀티탭 어디 있어요?	전원 멀티탭	전원 멀티탭	power_strip	전자/디지털	false	exact
tc_0020	4구 6구 멀티탭 콘센트 찾고 있어요	전원 멀티탭	전원 멀티탭 4구 6구 멀티탭 콘센트	power_strip	전자/디지털	false	desc/syn
tc_0021	전원멀탭 있어요?	전원 멀티탭	전원멀탭 전원 멀티탭	power_strip	전자/디지털	false	typo
tc_0022	변기 세정제 어디 있어요?	변기 세정제	변기 세정제			true	exact|no_catalog|no_catalog
tc_0023	변기 클리너 청소 세정 찾고 있어요	변기 세정제	변기 세정제 변기 클리너 청소 세정			true	desc/syn|no_catalog|no_catalog
tc_0024	변기세정 있어요?	변기 세정제	변기세정 변기 세정제			true	typo|no_catalog|no_catalog
tc_0025	휴대용 보조배터리 어디 있어요?	휴대용 보조배터리	휴대용 보조배터리			true	exact|no_catalog
tc_0026	USB-C 보조배터리 스마트폰 충전 찾고 있어요	휴대용 보조배터리	휴대용 보조배터리 USB-C 보조배터리 스마트폰 충전			true	desc/syn|no_catalog
tc_0027	휴대용보배터리 있어요?	휴대용 보조배터리	휴대용보배터리 휴대용 보조배터리			true	typo|no_catalog
tc_0028	욕실 매트 어디 있어요?	욕실 매트	욕실 매트	bath_mat	욕실/청소	false	exact
tc_0029	흡수 미끄럼방지 욕실 매트 찾고 있어요	욕실 매트	욕실 매트 흡수 미끄럼방지 욕실 매트	bath_mat	욕실/청소	false	desc/syn
tc_0030	실매트 있어요?	욕실 매트	실매트 욕실 매트	bath_mat	욕실/청소	false	typo
tc_0031	도마 어디 있어요?	도마	도마			true	exact|no_catalog
tc_0032	주방 도마 나무 플라스틱 찾고 있어요	도마	도마 주방 도마 나무 플라스틱			true	desc/syn|no_catalog
tc_0033	도마 있어요?	도마	도마 도마			true	typo|no_catalog
tc_0034	주방/청소 수세미 어디 있어요?	주방/청소 수세미	주방/청소 수세미			true	exact|no_catalog
tc_0035	수세미 스펀지 설거지 찾고 있어요	주방/청소 수세미	주방/청소 수세미 수세미 스펀지 설거지			true	desc/syn|no_catalog
tc_0036	주방청소수세미 있어요?	주방/청소 수세미	주방청소수세미 주방/청소 수세미			true	typo|no_catalog
tc_0037	투명 테이프 어디 있어요?	투명 테이프	투명 테이프	tape	문구/사무	false	exact
tc_0038	문구 테이프 포장용 찾고 있어요	투명 테이프	투명 테이프 문구 테이프 포장용	tape	문구/사무	false	desc/syn
tc_0039	투명테프 있어요?	투명 테이프	투명테프 투명 테이프	tape	문구/사무	false	typo
tc_0040	프라이팬 어디 있어요?	프라이팬	프라이팬			true	exact|no_catalog
tc_0041	후라이팬 코팅 팬 찾고 있어요	프라이팬	프라이팬 후라이팬 코팅 팬			true	desc/syn|no_catalog
tc_0042	프라팬 있어요?	프라이팬	프라팬 프라이팬			true	typo|no_catalog
tc_0043	필라테스 매트 어디 있어요?	필라테스 매트	필라테스 매트	pilates_mat	스포츠/레저	false	exact
tc_0044	필라테스 운동 매트 스트레칭 찾고 있어요	필라테스 매트	필라테스 매트 필라테스 운동 매트 스트레칭	pilates_mat	스포츠/레저	false	desc/syn
tc_0045	필라스매트 있어요?	필라테스 매트	필라스매트 필라테스 매트	pilates_mat	스포츠/레저	false	typo
tc_0046	고무장갑 어디 있어요?	고무장갑	고무장갑	rubber_gloves	주방/식품	false	exact
tc_0047	청소용 고무장갑 설거지 장갑 찾고 있어요	고무장갑	고무장갑 청소용 고무장갑 설거지 장갑	rubber_gloves	주방/식품	false	desc/syn
tc_0048	고장갑 있어요?	고무장갑	고장갑 고무장갑	rubber_gloves	주방/식품	false	typo
tc_0049	욕실 슬리퍼 어디 있어요?	욕실 슬리퍼	욕실 슬리퍼	bath_slippers	욕실/청소	false	exact
tc_0050	욕실용 미끄럼방지 슬리퍼 실내화 찾고 있어요	욕실 슬리퍼	욕실 슬리퍼 욕실용 미끄럼방지 슬리퍼 실내화	bath_slippers	욕실/청소	false	desc/syn
tc_0051	욕슬리퍼 있어요?	욕실 슬리퍼	욕슬리퍼 욕실 슬리퍼	bath_slippers	욕실/청소	false	typo
tc_0052	유선 이어폰 어디 있어요?	유선 이어폰	유선 이어폰			true	exact|no_catalog
tc_0053	3.5mm 이어폰 마이크 포함 찾고 있어요	유선 이어폰	유선 이어폰 3.5mm 이어폰 마이크 포함			true	desc/syn|no_catalog
tc_0054	유선어폰 있어요?	유선 이어폰	유선어폰 유선 이어폰			true	typo|no_catalog
tc_0055	요가 매트 어디 있어요?	요가 매트	요가 매트	yoga_mat	스포츠/레저	false	exact
tc_0056	요가 운동 매트 홈트 찾고 있어요	요가 매트	요가 매트 요가 운동 매트 홈트	yoga_mat	스포츠/레저	false	desc/syn
tc_0057	가매트 있어요?	요가 매트	가매트 요가 매트	yoga_mat	스포츠/레저	false	typo
tc_0058	순간접착제(강력) 어디 있어요?	순간접착제(강력)	순간접착제(강력)	super_glue	문구/사무	false	exact
tc_0059	접착제 플라스틱 금속 목재 찾고 있어요	순간접착제(강력)	순간접착제(강력) 접착제 플라스틱 금속 목재	super_glue	문구/사무	false	desc/syn
tc_0060	순접착제(강력) 있어요?	순간접착제(강력)	순접착제(강력) 순간접착제(강력)	super_glue	문구/사무	false	typo
tc_0061	청소포 어디 있어요?	청소포	청소포			true	exact|no_catalog
tc_0062	바닥 청소포 물티슈 형태 찾고 있어요	청소포	청소포 바닥 청소포 물티슈 형태			true	desc/syn|no_catalog
tc_0063	청포 있어요?	청소포	청포 청소포			true	typo|no_catalog
tc_0064	안녕하세요	인사	안녕하세요			true	noise/greeting
tc_0065	뭐가 제일 잘 나가요?	추천	추천 인기 상품			true	ambiguous
tc_0066	매트 같은 거	매트	매트 욕실 바닥 미끄럼방지	bath_mat	욕실/청소	false	vague->specific via query text
tc_0067	테이프 있나요	테이프	테이프 투명 양면 포장	tape	문구/사무	false	generic
tc_2001	화장실 문앞 깔개 어디 있어요?	욕실/화장실 문앞 매트	화장실 문앞 깔개 욕실 발매트 미끄럼방지 흡수 규조토 러그 발판 변기 앞	bath_mat,diatomite_mat,bath_rug	욕실/청소	false	ambiguous_top5
tc_2002	규조토 욕실 발매트 있어요?	규조토 매트	규조토 매트 욕실 발매트 흡수 건조 미끄럼방지	diatomite_mat	욕실/청소	false	exact
tc_2003	변기 앞에 까는 U자 매트 어디에요?	변기 U자 매트	변기 U자 매트 변기 앞 매트 화장실	toilet_u_mat	욕실/청소	false	exact
tc_2004	러그 발판 같은 욕실 깔개 있어요?	욕실 러그 발판	욕실 러그 발판 깔개 화장실 문앞 발매트	bath_rug	생활/잡화	false	desc/syn
tc_2005	욕실 입구 발판 미끄럼방지 되는 거	욕실/화장실 문앞 매트	욕실 입구 발판 미끄럼방지 깔개 발매트 규조토 러그	bath_mat,diatomite_mat,bath_rug	욕실/청소	false	ambiguous_top5
