"새 길을 트는 챌린저","도전","새로운 도전과 모험에 나서는 사람"
"호기심 만렙 탐구러","탐구","궁금증을 해결하고 지식을 찾는 사람"
"믿음직한 찐친","신뢰","항상 곁에서 의지할 수 있는 친구"
"같이 가는 팀플러","협력","함께 목표를 달성하기 위해 협력하는 동료"
"앞에서 끄는 리더","리더십","앞장서서 팀을 이끄는 주도적인 사람"
"꿈꾸는 미래러","희망","밝은 미래를 위해 꿈꾸고 준비하는 사람"
"모험을 즐기는 어드벤처","모험","두려움 없이 새로움에 도전하는 사람"
"꾸준함의 실천러","노력","계획을 끝까지 실행하며 노력하는 사람"
"문제 푸는 솔버","해결","복잡한 문제를 해결하는 능력이 있는 사람"
"호기심 백퍼 학자","지식","학문과 탐구에 열정적인 사람"
"세상을 보는 관찰러","관찰","주변을 주의 깊게 관찰하며 이해하는 사람"
"돕는 데 진심인 헬퍼","배려","어려운 상황에서 적극적으로 돕는 사람"
"조언 맛집 조언러","조언","신중하고 유용한 충고를 제공하는 사람"
"창의력 폭발 크리에이터","창의","독창적인 아이디어로 새로움을 만드는 사람"
"논리 천재 사고러","사고","논리적이고 깊이 있는 사고를 하는 사람"
"응원 부스터 격려러","격려","긍정적인 에너지를 전하며 격려하는 사람"
"아이디어 뿜뿜 발명러","아이디어","참신한 발상으로 문제를 푸는 사람"
"협력 만렙 팀메이트","팀워크","협력의 중심이 되어 팀에 기여하는 사람"
"롤모델 찐선배","본보기","본보기가 되는 신뢰받는 선배"
"열심히 배우는 배움러","학습","새로운 지식과 스킬을 배우는 데 열정적인 사람"
"끈기로 버티는 노력러","끈기","인내와 성실로 목표를 달성하는 사람"
"깊이 파는 지식러","통찰","지식 탐구에 몰두하는 학구적인 사람"
"팀플로 푸는 협력왕","협동","팀워크로 문제를 해결하는 협력 전문가"
"목표를 향한 타겟러","목표","뚜렷한 목표를 세우고 달성하려는 사람"
"리드감 있는 지휘러","지휘","상황을 통솔하며 이끄는 지도자"
"아이디어 폭발 기획왕","기획","창의적으로 기획하고 실행하는 사람"
"가능성을 보는 디스커버러","발견","숨겨진 가능성을 발견하는 사람"
"전략 꾼 전략러","전략","체계적으로 계획하며 실현하는 사람"
"문제를 푸는 해결러","해결책","실질적이고 창의적으로 해결책을 찾는 사람"
"방향을 잡는 리더","방향성","올바른 길을 제시하며 팀을 이끄는 사람"
"꿈을 설계하는 플래너","설계","미래를 체계적으로 준비하는 사람"
"시간관리 끝판왕","시간","시간을 효율적으로 활용하는 사람"
"활동 열정 폭발 동아리러","열정","동아리 활동에 열심히 참여하는 사람"
"도움을 실천하는 봉사왕","봉사","타인을 위해 봉사에 헌신하는 사람"
"문제를 심플하게 푸는 솔루션러","간소화","복잡한 문제를 간단히 해결하는 사람"
"트렌드 리딩 선두러","리더","새로운 흐름을 선도하는 사람"
"발표 장인 프레젠터","발표","자신감 있게 발표를 잘하는 사람"
"공감력 만렙 힐러러","공감","타인의 감정을 잘 이해하고 공감하는 사람"
"새로움을 찾는 익스플로러","탐색","새로운 것과 아이디어를 찾아내는 사람"
"매력적인 글쓰는 라이터","글쓰기","글을 매력적으로 작성하는 사람"
"발표력 만렙 발표왕","자신감","자신감 넘치는 발표 전문가"
"도전 욕심 넘치는 하슬러","도전","끊임없이 새로운 것에 도전하는 사람"
"표현력 최고 아티스트","표현","자신의 생각과 감정을 창의적으로 표현하는 사람"
"깊이를 아는 브레인","지혜","깊고 넓은 지식을 지닌 사람"
"독창적 관점 장착 크리에이터","관점","새로운 관점으로 창작을 하는 사람"
"목표를 향한 한걸음러","성취","목표를 위해 꾸준히 전진하는 사람"
"책 읽는 북러버","독서","책을 사랑하고 독서를 즐기는 사람"
"논리 대화 장인 토론러","논리","논리적으로 설득력 있는 대화를 이끄는 사람"
"분위기 메이커 사회자","소통","대화와 분위기를 조율하며 중심을 잡는 사람"
