doc_id	title	text	category
doc_0001	건전지 (A)	건전지 상품입니다. 관련 키워드: 건전지 전자기기 전자제품 배터리. 고객 질문 예시: 건전지 어디에 있어요?.	전자/디지털
doc_0002	건전지 (B)	건전지 상품입니다. 관련 키워드: 건전지 전자기기 전자제품 배터리. 고객 질문 예시: 건전지 어디에 있어요?.	전자/디지털
doc_0003	멀티탭 (A)	멀티탭 상품입니다. 관련 키워드: 멀티탭 전자기기 전선 디지털 전기. 고객 질문 예시: 멀티탭 코너는 몇 번이에요?.	전자/디지털
doc_0004	멀티탭 (B)	멀티탭 상품입니다. 관련 키워드: 멀티탭 전자기기 전선 디지털 전기. 고객 질문 예시: 멀티탭 코너는 몇 번이에요?.	전자/디지털
doc_0005	순간접착제 (A)	순간접착제 상품입니다. 관련 키워드: 순간접착제 접착제 문구 사무용품 접착. 고객 질문 예시: 순간접착제는 어디로 가야 돼요?.	문구/사무
doc_0006	순간접착제 (B)	순간접착제 상품입니다. 관련 키워드: 순간접착제 접착제 문구 사무용품 접착. 고객 질문 예시: 순간접착제는 어디로 가야 돼요?.	문구/사무
doc_0007	욕실 슬리퍼 (A)	욕실 슬리퍼 상품입니다. 관련 키워드: 욕실 슬리퍼 욕실 슬리퍼 욕실용품 실내화. 고객 질문 예시: 욕실 슬리퍼 찾는데 안 보여요..	욕실/청소
doc_0008	욕실 슬리퍼 (B)	욕실 슬리퍼 상품입니다. 관련 키워드: 욕실 슬리퍼 욕실 슬리퍼 욕실용품 실내화. 고객 질문 예시: 욕실 슬리퍼 찾는데 안 보여요..	욕실/청소
doc_0009	리들샷 (A)	리들샷 상품입니다. 관련 키워드: 리들샷 얼굴 샷 뷰티 스킨케어 피부관리. 고객 질문 예시: 다이소 꿀템이라고 하던데, '리들샷' 재고 있나요?.	뷰티/위생
doc_0010	리들샷 (B)	리들샷 상품입니다. 관련 키워드: 리들샷 얼굴 샷 뷰티 스킨케어 피부관리. 고객 질문 예시: 다이소 꿀템이라고 하던데, '리들샷' 재고 있나요?.	뷰티/위생
doc_0011	아이폰 충전 케이블 (A)	아이폰 충전 케이블 상품입니다. 관련 키워드: 아이폰 충전 케이블 아이폰 충전 케이블 케이블 디지털 핸드폰 용품 충전기. 고객 질문 예시: 아이폰 충전 케이블은 어디 쪽에 있나요?.	전자/디지털
doc_0012	아이폰 충전 케이블 (B)	아이폰 충전 케이블 상품입니다. 관련 키워드: 아이폰 충전 케이블 아이폰 충전 케이블 케이블 디지털 핸드폰 용품 충전기. 고객 질문 예시: 아이폰 충전 케이블은 어디 쪽에 있나요?.	전자/디지털
doc_0013	포장지, 편지지 (A)	포장지, 편지지 상품입니다. 관련 키워드: 포장지 편지지 포장지 편지지 종이 문구 선물 포장 편지 쓰기. 고객 질문 예시: 포장지랑 편지지는 어디 있어요?.	문구/사무
doc_0014	포장지, 편지지 (B)	포장지, 편지지 상품입니다. 관련 키워드: 포장지 편지지 포장지 편지지 종이 문구 선물 포장 편지 쓰기. 고객 질문 예시: 포장지랑 편지지는 어디 있어요?.	문구/사무
doc_0015	옷걸이 (A)	옷걸이 상품입니다. 관련 키워드: 옷걸이 옷장 걸이 수납용품 정리. 고객 질문 예시: 옷걸이 종류는 어디 모여 있어요?.	수납/정리
doc_0016	옷걸이 (B)	옷걸이 상품입니다. 관련 키워드: 옷걸이 옷장 걸이 수납용품 정리. 고객 질문 예시: 옷걸이 종류는 어디 모여 있어요?.	수납/정리
doc_0017	배변 패드 (A)	배변 패드 상품입니다. 관련 키워드: 배변 패드 애견 패드 애완용품 강아지 고양이. 고객 질문 예시: 강아지 배변 패드는 2층에 있나요?.	반려동물
doc_0018	배변 패드 (B)	배변 패드 상품입니다. 관련 키워드: 배변 패드 애견 패드 애완용품 강아지 고양이. 고객 질문 예시: 강아지 배변 패드는 2층에 있나요?.	반려동물
doc_0019	줄자 (A)	줄자 상품입니다. 관련 키워드: 줄자 측정 도구 DIY 측정 도구. 고객 질문 예시: 줄자는 공구 쪽에 있나요, 문구 쪽에 있나요?.	공구/DIY
