id	raw_text	intent_text	bm25_query_text	expected_doc_ids	expected_category	needs_clarification	notes	trap_keywords
tc_3000	화장실 문앞 깔개 어디 있어요?	욕실/화장실 문앞 매트	화장실 문앞 깔개 욕실 발매트 미끄럼방지 흡수 규조토 러그 발판 변기 앞	bath_mat,diatomite_mat,bath_rug	욕실/청소	false	ambiguous_top5	변기 앞
tc_3001	사과 칼 주세요	과도	사과 칼 과도 과일 칼 주방 칼 애플	fruit_knife	주방/식품	false	exact_disambiguated_with_apple_token	애플
tc_3002	사과 깎는 작은 칼 있어요?	과도	사과 깎는 칼 과도 과일 칼 작은 칼	fruit_knife	주방/식품	false	desc/syn	
tc_3003	사과 케이스 주세요	애플폰 케이스	케이스 애플폰 케이스 아이폰 케이스 폰케이스 iphone 사과	iphone_case	전자/디지털	false	brand_disambiguated	사과
tc_3004	아이폰 케이스 있어요?	애플폰 케이스	아이폰 케이스 애플폰 케이스 폰케이스 iphone case	iphone_case	전자/디지털	false	exact	
tc_3005	사과 케이스 있나요?	애플폰 케이스	케이스 애플폰 케이스 아이폰 케이스 폰케이스 iphone 사과	iphone_case	전자/디지털	false	ambiguous->assume_iphone_case	사과
tc_3006	애플 칼 주세요	애플폰 케이스	애플 애플폰 케이스 아이폰 케이스 폰케이스 iphone 칼	iphone_case	전자/디지털	false	ambiguous->force_iphone_case	칼
tc_3007	애플 감싸는거 주세요	애플폰 케이스	애플 감싸는거 케이스 애플폰 케이스 아이폰 케이스 폰케이스 iphone	iphone_case	전자/디지털	false	ambiguous->assume_iphone_case	
tc_3031	사과 껍질 깎는 필러 있어요?	과일 필러	사과 껍질 필러 과일 필러 껍질 제거	fruit_peeler	주방/식품	false	desc	
tc_3032	과일필러 어디 있어요?	과일 필러	과일필러 과일 필러 필러 감자	fruit_peeler	주방/식품	false	exact	감자
tc_3033	사과 자르는 커터 같은거 있어요?	사과 슬라이서	사과 커터 사과 슬라이서 사과 자르기 과일 커터	apple_slicer	주방/식품	false	desc/syn	
tc_3034	사과 슬라이서 주세요	사과 슬라이서	사과 슬라이서 사과 커터	apple_slicer	주방/식품	false	exact	
tc_3035	과도 세트 어디에요?	과도 세트	과도 세트 과일 칼 세트 사과 칼 세트	fruit_knife_set	주방/식품	false	exact	
tc_3036	도마 어디 있어요?	도마	도마 주방 도마	cutting_board	주방/식품	false	exact	
tc_3037	식도 있어요?	식도	식도 주방 칼 요리 칼	chef_knife	주방/식품	false	exact	
tc_3038	사과 보관 케이스 주세요	과일 보관 케이스	사과 보관 과일 보관 과일 보관 통 케이스	fruit_storage_box	주방/식품	false	disambiguated_from_phone	케이스
tc_3039	아이폰 필름 어디 있어요?	액정 보호필름	아이폰 필름 액정 보호필름 강화유리	screen_protector	전자/디지털	false	exact	
tc_3040	무선충전기 있어요?	무선 충전기	무선충전기 무선 충전기 고속 무선충전 패드	wireless_charger	전자/디지털	false	typo	
tc_3041	핸드폰 케이스 중에 아이폰꺼 있어요?	애플폰 케이스	핸드폰 케이스 아이폰 케이스 애플폰 케이스 폰케이스 iphone	iphone_case	전자/디지털	false	desc	
tc_3042	아이폰용 폰케이스 어디 있어요?	애플폰 케이스	아이폰용 폰케이스 아이폰 케이스 애플폰 케이스 iphone	iphone_case	전자/디지털	false	exact	
tc_3043	아이폰케이스 투명한거 있나요?	애플폰 케이스	아이폰케이스 투명 케이스 아이폰 케이스 애플폰 케이스 폰케이스	iphone_case	전자/디지털	false	desc	
tc_3044	아이폰 하드 케이스 있어요?	애플폰 케이스	아이폰 하드 케이스 아이폰 케이스 애플폰 케이스 폰케이스	iphone_case	전자/디지털	false	desc	
